t [s],x [m],y [m],z [m],roll [deg],pitch [deg],yaw [deg]
0.0,-3.880143955891802e-07,0.0,500.00013733741224,0.0,0.0004369658474027072,0.0
0.1,-1.5491519200205414e-06,0.0,500.0005490236037,0.0,0.0017459934143391855,0.0
0.2,-3.474783023137049e-06,0.0,500.0012340835374,0.0,0.003921490062522537,0.0
0.30000000000000004,-6.1508166837665116e-06,0.0,500.00219090236357,0.0,0.006954191702141631,0.0
0.4,-9.558129431968387e-06,0.0,500.0034172405245,0.0,0.010831247075604289,0.0
0.5,-1.3673149671392961e-05,0.0,500.0049102544804,0.0,0.015536333441257159,0.0
0.6,-1.8468581766963427e-05,0.0,500.0066665226544,0.0,0.02104980143710568,0.0
0.7,-2.391425098091698e-05,0.0,500.0086820761011,0.0,0.0273488463985286,0.0
0.7999999999999999,-2.9978047667999417e-05,0.0,500.0109524333285,0.0,0.0344077029851418,0.0
0.8999999999999999,-3.662694725248761e-05,0.0,500.01347263864477,0.0,0.04219785965049307,0.0
0.9999999999999999,-4.3828081439873814e-05,0.0,500.0162373033616,0.0,0.05068828926984954,0.0
1.0999999999999999,-5.154983585913702e-05,0.0,500.0192406491659,0.0,0.059845692127157867,0.0
1.2,-5.976294984571281e-05,0.0,500.02247655297055,0.0,0.06963474744924546,0.0
1.3,-6.844159528732372e-05,0.0,500.0259385925683,0.0,0.08001836975665014,0.0
1.4000000000000001,-7.756441326672007e-05,0.0,500.0296200924461,0.0,0.09095796646615541,0.0
1.5000000000000002,-8.711548953176644e-05,0.0,500.0335141691587,0.0,0.102413693417856,0.0
1.6000000000000003,-9.708525247926484e-05,0.0,500.03761377571607,0.0,0.11434470529553077,0.0
1.7000000000000004,-0.00010747128022732786,0.0,500.04191174450085,0.0,0.126709398248674,0.0
1.8000000000000005,-0.00011827900634932715,0.0,500.046400828299,0.0,0.13946564239315695,0.0
1.9000000000000006,-0.0001295223168376826,0.0,500.0510737390984,0.0,0.15257100225125222,0.0
2.0000000000000004,-0.00014122403375931234,0.0,500.0559231843786,0.0,0.1659829435779202,0.0
2.1000000000000005,-0.00015341628377451742,0.0,500.0609419006854,0.0,0.17965902539767434,0.0
2.2000000000000006,-0.00016614075215369973,0.0,500.0661226843475,0.0,0.19355707643565734,0.0
2.3000000000000007,-0.00017944882509624395,0.0,500.07145841925546,0.0,0.2076353554603618,0.0
2.400000000000001,-0.00019340162500531058,0.0,500.076942101676,0.0,0.22185269535822685,0.0
2.500000000000001,-0.0002080699448892938,0.0,500.08256686212417,0.0,0.23616863102849966,0.0
2.600000000000001,-0.00022353408924720002,0.0,500.0883259843568,0.0,0.25054351141829484,0.0
2.700000000000001,-0.0002398836296644601,0.0,500.09421292158817,0.0,0.26493859621223137,0.0
2.800000000000001,-0.00025721708391977165,0.0,500.1002213100533,0.0,0.27931613784909665,0.0
2.9000000000000012,-0.0002756415277108838,0.0,500.10634498006965,0.0,0.2936394496614145,0.0
3.0000000000000013,-0.0002952721481802319,0.0,500.1125779647626,0.0,0.30787296102501877,0.0
3.1000000000000014,-0.0003162317482944649,0.0,500.1189145066304,0.0,0.3219822604677505,0.0
3.2000000000000015,-0.0003386502108399731,0.0,500.12534906213256,0.0,0.33593412772246967,0.0
3.3000000000000016,-0.00036266393037324865,0.0,500.13187630448385,0.0,0.3496965557231516,0.0
3.4000000000000017,-0.0003884152209419648,0.0,500.13849112483973,0.0,0.36323876353733336,0.0
3.5000000000000018,-0.0004160517067989061,0.0,500.145188632049,0.0,0.376531201206905,0.0
3.600000000000002,-0.00044572570269193107,0.0,500.15196415114843,0.0,0.3895455474353231,0.0
3.700000000000002,-0.0004775935896511522,0.0,500.15881322076086,0.0,0.40225470101561084,0.0
3.800000000000002,-0.0005118151915281169,0.0,500.1657315895525,0.0,0.41463276684257033,0.0
3.900000000000002,-0.0005485531568862132,0.0,500.1727152118923,0.0,0.426655037296733,0.0
4.000000000000002,-0.0005879723502088809,0.0,500.1797602428458,0.0,0.43829796972864804,0.0
4.100000000000001,-0.0006302392557916595,0.0,500.18686303262615,0.0,0.44953916071181005,0.0
4.200000000000001,-0.0006755213971222585,0.0,500.1940201206104,0.0,0.46035731767221083,0.0
4.300000000000001,-0.0007239867740340727,0.0,500.20122822902243,0.0,0.4707322284432587,0.0
4.4,-0.000775803319445406,0.0,500.20848425636945,0.0,0.48064472923750134,0.0
4.5,-0.000831138377070031,0.0,500.21578527071193,0.0,0.4900766714718661,0.0
4.6,-0.0008901582011043223,0.0,500.22312850283487,0.0,0.4990108878314547,0.0
4.699999999999999,-0.0009530274785607598,0.0,500.2305113393812,0.0,0.5074311579086153,0.0
4.799999999999999,-0.0010199088746251023,0.0,500.23793131599916,0.0,0.5153221737092447,0.0
4.899999999999999,-0.0010909626011624274,0.0,500.245386110548,0.0,0.522669505277118,0.0
4.999999999999998,-0.0011663460082826543,0.0,500.2528735363993,0.0,0.5294595666495057,0.0
5.099999999999998,-0.001246213198695994,0.0,500.2603915358657,0.0,0.5356795823233251,0.0
5.1999999999999975,-0.0013307146644398647,0.0,500.2679381737822,0.0,0.541317554380477,0.0
5.299999999999997,-0.001419996945437967,0.0,500.2755116312616,0.0,0.5463622303936594,0.0
5.399999999999997,-0.0015142023092563838,0.0,500.2831101996393,0.0,0.5508030722096501,0.0
5.4999999999999964,-0.0016134684513477778,0.0,500.2907322746214,0.0,0.5546302256855968,0.0
5.599999999999996,-0.0017179282150202372,0.0,500.2983763506438,0.0,0.5578344914350356,0.0
